visual_material,target_material,decision,reason
MetalWood_Trim_Building_4,simart_uncertain_review,uncertain_review,compound MetalWood visual material; choose policy manually
MetalWood_Trim_Building_5,simart_uncertain_review,uncertain_review,compound MetalWood visual material; choose policy manually
MetalWood_Trim_Building_6,simart_uncertain_review,uncertain_review,compound MetalWood visual material; choose policy manually
MetalWood_Trim_Building_7,simart_uncertain_review,uncertain_review,compound MetalWood visual material; choose policy manually
MetalWood_Trim_Building_8,simart_uncertain_review,uncertain_review,compound MetalWood visual material; choose policy manually
MetalWood_Trim_Building_9,simart_uncertain_review,uncertain_review,compound MetalWood visual material; choose policy manually
MetalWood_Trim_Prop,simart_uncertain_review,uncertain_review,compound MetalWood visual material; choose policy manually
Roof_Asphalt1_Building,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Asphalt1_Building_1,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Asphalt1_Building_2,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Asphalt1_Building_3,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Asphalt2_Building,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Asphalt3_Building,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Asphalt3_Building_1,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen1_Building,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen36_Building,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen36_Building_1,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen36_Building_2,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen36_Building_3,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen36_Building_4,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen36_Building_5,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen36_Building_6,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen36_Building_7,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen36_Building_8,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen36_Building_9,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen36_Prop,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen37_Building,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen37_Building_1,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen4_Building,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen4_Building_1,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen5_Building,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
Roof_Bitumen5_Building_1,simart_uncertain_review,uncertain_review,road/sidewalk/asphalt-like role; needs project policy
SanDiego_Building_Props_01_Prop,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_01_Prop_1,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_02_Building,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_03_Building,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_03_Building_1,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_05_Building,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_07_Building,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_07_Building_1,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_13_Building,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_19_Building,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_19_Building_1,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_19_Building_2,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_19_Building_3,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_28_Building,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_29_Building,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_29_Building_1,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_29_Building_10,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_29_Building_2,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_29_Building_3,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_29_Building_4,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_29_Building_5,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_29_Building_6,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_29_Building_7,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_29_Building_8,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_29_Building_9,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_29_Prop,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_30_Building,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_30_Building_1,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_30_Building_2,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_31_Building,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_32_Building,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_32_Building_1,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SanDiego_Building_Props_33_Building,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SandiegoProps_Prop,simart_uncertain_review,uncertain_review,visual asset/material family needs manual review
SharedTexture02_Prop,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture02_Prop_1,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture02_Prop_10,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture02_Prop_11,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture02_Prop_12,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture02_Prop_13,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture02_Prop_2,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture02_Prop_3,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture02_Prop_4,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture02_Prop_5,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture02_Prop_6,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture02_Prop_7,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture02_Prop_8,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture02_Prop_9,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture05Emissive1_Prop,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture05Emissive_Prop,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture06_Prop,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SharedTexture06_Prop_1,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_OneWay1_Flipped-Back.png_RightOneWaySign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_OneWay1_Flipped.svg_rrx_RightOneWaySign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_R1-1-Back.png_StopSign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_R1-1.svg_StopSign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_R1-5-Back.png_Sign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_R1-5.svg_rrx_Sign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_R4-7c-Back.png_KeepRightSign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_R4-7c.svg_rrx_KeepRightSign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_R5-1-Back.png_Sign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_R5-1.svg_rrx_Sign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_R6-1-Back.png_LeftOneWaySign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_R6-1.svg_rrx_LeftOneWaySign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_R6-2_R-Back.png_RightOneWaySign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Sign_R6-2_R.svg_rrx_RightOneWaySign,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Signals_LightsOff01_Diff.png_Signal,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Signals_LightsOn01_Diff.png_Signal,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
SkyScraper_40mx40m_31Story:GraniteGlossy1_Building,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim1_Building,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim3_Building,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim3_Building_1,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim3_Building_2,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim3_Building_3,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim3_Building_4,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim3_Building_5,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim3_Building_6,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim3_Building_7,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim3_Prop,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim4_Building,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim4_Building_1,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim4_Building_2,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim4_Building_3,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim8_Building,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim9_Building,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim9_Building_1,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim9_Building_2,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stone_Trim9_Building_3,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stones_Large3_Building,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stones_Large7_Building,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stones_Large8_Building,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Stones_Large_Building,simart_uncertain_review,uncertain_review,stone/marble/stucco is not an exact provided Sionna preset
Trunk_Foliage,simart_uncertain_review,uncertain_review,vegetation material; needs project policy
Trunk_Foliage_1,simart_uncertain_review,uncertain_review,vegetation material; needs project policy
Trunk_Foliage_2,simart_uncertain_review,uncertain_review,vegetation material; needs project policy
Trunk_Foliage_3,simart_uncertain_review,uncertain_review,vegetation material; needs project policy
Trunk_Foliage_4,simart_uncertain_review,uncertain_review,vegetation material; needs project policy
Trunk_Foliage_5,simart_uncertain_review,uncertain_review,vegetation material; needs project policy
Trunk_Foliage_6,simart_uncertain_review,uncertain_review,vegetation material; needs project policy
Urban_Mat_FireHydrantProp,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Urban_Mat_Prop,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Urban_Mat_Prop_1,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Urban_Mat_Prop_10,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Urban_Mat_Prop_11,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Urban_Mat_Prop_2,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Urban_Mat_Prop_3,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Urban_Mat_Prop_4,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Urban_Mat_Prop_5,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Urban_Mat_Prop_6,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Urban_Mat_Prop_7,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Urban_Mat_Prop_8,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
Urban_Mat_Prop_9,simart_uncertain_review,uncertain_review,no direct physical material keyword; needs manual review
