visual_material,candidate_sionna_material,old_confidence,old_reason,strict_reason,slot_count,object_count,face_count,texture_files,objects_preview,required_action
SanDiego_Building_Props_29_Building_2,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,12,12,43704,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.001;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.002;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.003;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.004;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.005;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.006;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.007;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.008;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.009;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.010;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.011,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_3,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,3,3,4401,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_4,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,3080,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_5,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,548,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_14mX15m_Corner_01_5storey0_BuildingNode;Downtown_14mX15m_Corner_01_5storey0_BuildingNode.001,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_6,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,1,1,2054,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_30mX30m_02_5storey0_mesh_BuildingNode,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_7,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,16,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f;Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f322e,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_8,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,1,1,3024,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_15mX15m_01_5storey0_mesh_BuildingNode,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Building_9,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,3,3,18396,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_15mX30m_01_5storey_Mesh0_BuildingNode;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.001;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.002,manual confirm or create custom Sionna material
SanDiego_Building_Props_29_Prop,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,1,1,6132,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_30mx15m_01_5storey0_PropNode,manual confirm or create custom Sionna material
SanDiego_Building_Props_30_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,6,6,16722,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,DownTown_6mX15m_02_2storey0_mesh1_BuildingNode;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.001;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.002;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.003;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.004;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.005,manual confirm or create custom Sionna material
SanDiego_Building_Props_30_Building_1,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,1,1,5434,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,_30mX30m_8storey_mesh_BuildingNode,manual confirm or create custom Sionna material
SanDiego_Building_Props_30_Building_2,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,5320,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode;Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode.001,manual confirm or create custom Sionna material
SanDiego_Building_Props_31_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,3,3,1104,SandiegoProps01_Diff.png;SandiegoProps01_Norm.png;SandiegoProps01_Spec.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,manual confirm or create custom Sionna material
SanDiego_Building_Props_32_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,5,5,23955,,Downtown_8mX15m_02_4storey0_mesh_BuildingNode;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.001;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.002;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.003;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.004,manual confirm or create custom Sionna material
SanDiego_Building_Props_32_Building_1,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,4,4,3992,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_30mX45m_Corner_5storey_mesh_BuildingNode;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.001;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.002;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.003,manual confirm or create custom Sionna material
SanDiego_Building_Props_33_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,5,5,18750,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_8mX15m_02_4storey0_mesh_BuildingNode;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.001;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.002;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.003;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.004,manual confirm or create custom Sionna material
SandiegoProps_Prop,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,1,1,368,SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png;SandiegoProps01_Diff.png,Fusebox_Post01_PropNode,manual confirm or create custom Sionna material
SharedTexture02_Prop,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,1,1,176,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,TrafficCamera01_PropNode,manual confirm or create custom Sionna material
SharedTexture02_Prop_1,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,27,27,10476,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,signal_post_30_mesh_PropNode;signal_post_30_mesh_PropNode.001;signal_post_30_mesh_PropNode.002;signal_post_30_mesh_PropNode.003;signal_post_30_mesh_PropNode.004;signal_post_30_mesh_PropNode.005;signal_post_30_mesh_PropNode.006;signal_post_30_mesh_PropNode.007;signal_post_30_mesh_PropNode.008;signal_post_30_mesh_PropNode.009;signal_post_30_mesh_PropNode.010;signal_post_30_mesh_PropNode.011;signal_post_30_mesh_PropNode.012;signal_post_30_mesh_PropNode.013;signal_post_30_mesh_PropNode.014;signal_post_30_mesh_PropNode.015;signal_post_30_mesh_PropNode.016;signal_post_30_mesh_PropNode.017;signal_post_30_mesh_PropNode.018;signal_post_30_mesh_PropNode.019,manual confirm or create custom Sionna material
SharedTexture02_Prop_10,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,4,4,144,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,round_post_Prop_2Node;round_post_Prop_2Node.001;round_post_Prop_2Node.002;round_post_Prop_2Node.003,manual confirm or create custom Sionna material
SharedTexture02_Prop_11,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,2,2,772,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,luminaire_mast_arm_15_mesh_PropNode;luminaire_mast_arm_15_mesh_PropNode.001,manual confirm or create custom Sionna material
SharedTexture02_Prop_12,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,8,8,160,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,sign_post_10_mesh_PropNode;sign_post_10_mesh_PropNode.001;sign_post_10_mesh_PropNode.002;sign_post_10_mesh_PropNode.003;sign_post_10_mesh_PropNode.004;sign_post_10_mesh_PropNode.005;sign_post_10_mesh_PropNode.006;sign_post_10_mesh_PropNode.007,manual confirm or create custom Sionna material
SharedTexture02_Prop_13,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,3,3,1158,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,luminaire_mast_arm_12_mesh_PropNode;luminaire_mast_arm_12_mesh_PropNode.001;luminaire_mast_arm_12_mesh_PropNode.002,manual confirm or create custom Sionna material
SharedTexture02_Prop_2,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,6,6,2508,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,signal_mast_arm_20_mesh_PropNode;signal_mast_arm_20_mesh_PropNode.001;signal_mast_arm_20_mesh_PropNode.002;signal_mast_arm_20_mesh_PropNode.003;signal_mast_arm_20_mesh_PropNode.004;signal_mast_arm_20_mesh_PropNode.005,manual confirm or create custom Sionna material
SharedTexture02_Prop_3,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,5,5,1910,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,luminaire_mast_arm_6_mesh_PropNode;luminaire_mast_arm_6_mesh_PropNode.001;luminaire_mast_arm_6_mesh_PropNode.002;luminaire_mast_arm_6_mesh_PropNode.003;luminaire_mast_arm_6_mesh_PropNode.004,manual confirm or create custom Sionna material
SharedTexture02_Prop_4,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,5,5,1930,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,luminaire_mast_arm_10_mesh_PropNode;luminaire_mast_arm_10_mesh_PropNode.001;luminaire_mast_arm_10_mesh_PropNode.002;luminaire_mast_arm_10_mesh_PropNode.003;luminaire_mast_arm_10_mesh_PropNode.004,manual confirm or create custom Sionna material
SharedTexture02_Prop_5,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,4,4,1528,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,signal_post_12_mesh_PropNode;signal_post_12_mesh_PropNode.001;signal_post_12_mesh_PropNode.002;signal_post_12_mesh_PropNode.003,manual confirm or create custom Sionna material
SharedTexture02_Prop_6,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,4,4,144,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,round_post_PropNode;round_post_PropNode.001;round_post_PropNode.002;round_post_PropNode.003,manual confirm or create custom Sionna material
SharedTexture02_Prop_7,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,2,2,72,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,round_post_Prop_1Node;round_post_Prop_1Node.001,manual confirm or create custom Sionna material
SharedTexture02_Prop_8,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,12,12,4656,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,signal_post_17ft_mesh_PropNode;signal_post_17ft_mesh_PropNode.001;signal_post_17ft_mesh_PropNode.002;signal_post_17ft_mesh_PropNode.003;signal_post_17ft_mesh_PropNode.004;signal_post_17ft_mesh_PropNode.005;signal_post_17ft_mesh_PropNode.006;signal_post_17ft_mesh_PropNode.007;signal_post_17ft_mesh_PropNode.008;signal_post_17ft_mesh_PropNode.009;signal_post_17ft_mesh_PropNode.010;signal_post_17ft_mesh_PropNode.011,manual confirm or create custom Sionna material
SharedTexture02_Prop_9,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,24,24,9264,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,luminaire_mast_arm_8_mesh_PropNode;luminaire_mast_arm_8_mesh_PropNode.001;luminaire_mast_arm_8_mesh_PropNode.002;luminaire_mast_arm_8_mesh_PropNode.003;luminaire_mast_arm_8_mesh_PropNode.004;luminaire_mast_arm_8_mesh_PropNode.005;luminaire_mast_arm_8_mesh_PropNode.006;luminaire_mast_arm_8_mesh_PropNode.007;luminaire_mast_arm_8_mesh_PropNode.008;luminaire_mast_arm_8_mesh_PropNode.009;luminaire_mast_arm_8_mesh_PropNode.010;luminaire_mast_arm_8_mesh_PropNode.011;luminaire_mast_arm_8_mesh_PropNode.012;luminaire_mast_arm_8_mesh_PropNode.013;luminaire_mast_arm_8_mesh_PropNode.014;luminaire_mast_arm_8_mesh_PropNode.015;luminaire_mast_arm_8_mesh_PropNode.016;luminaire_mast_arm_8_mesh_PropNode.017;luminaire_mast_arm_8_mesh_PropNode.018;luminaire_mast_arm_8_mesh_PropNode.019,manual confirm or create custom Sionna material
SharedTexture05Emissive1_Prop,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,27,27,1296,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,Luminaire_Head01_mesh_PropNode;Luminaire_Head01_mesh_PropNode.001;Luminaire_Head01_mesh_PropNode.002;Luminaire_Head01_mesh_PropNode.003;Luminaire_Head01_mesh_PropNode.004;Luminaire_Head01_mesh_PropNode.005;Luminaire_Head01_mesh_PropNode.006;Luminaire_Head01_mesh_PropNode.007;Luminaire_Head01_mesh_PropNode.008;Luminaire_Head01_mesh_PropNode.009;Luminaire_Head01_mesh_PropNode.010;Luminaire_Head01_mesh_PropNode.011;Luminaire_Head01_mesh_PropNode.012;Luminaire_Head01_mesh_PropNode.013;Luminaire_Head01_mesh_PropNode.014;Luminaire_Head01_mesh_PropNode.015;Luminaire_Head01_mesh_PropNode.016;Luminaire_Head01_mesh_PropNode.017;Luminaire_Head01_mesh_PropNode.018;Luminaire_Head01_mesh_PropNode.019,manual confirm or create custom Sionna material
SharedTexture05Emissive_Prop,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,7,7,700,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,Luminaire_Head04_mesh_PropNode;Luminaire_Head04_mesh_PropNode.001;Luminaire_Head04_mesh_PropNode.002;Luminaire_Head04_mesh_PropNode.003;Luminaire_Head04_mesh_PropNode.004;Luminaire_Head04_mesh_PropNode.005;Luminaire_Head04_mesh_PropNode.006,manual confirm or create custom Sionna material
SharedTexture06_Prop,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,27,27,4860,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,Luminaire_Head01_mesh_PropNode;Luminaire_Head01_mesh_PropNode.001;Luminaire_Head01_mesh_PropNode.002;Luminaire_Head01_mesh_PropNode.003;Luminaire_Head01_mesh_PropNode.004;Luminaire_Head01_mesh_PropNode.005;Luminaire_Head01_mesh_PropNode.006;Luminaire_Head01_mesh_PropNode.007;Luminaire_Head01_mesh_PropNode.008;Luminaire_Head01_mesh_PropNode.009;Luminaire_Head01_mesh_PropNode.010;Luminaire_Head01_mesh_PropNode.011;Luminaire_Head01_mesh_PropNode.012;Luminaire_Head01_mesh_PropNode.013;Luminaire_Head01_mesh_PropNode.014;Luminaire_Head01_mesh_PropNode.015;Luminaire_Head01_mesh_PropNode.016;Luminaire_Head01_mesh_PropNode.017;Luminaire_Head01_mesh_PropNode.018;Luminaire_Head01_mesh_PropNode.019,manual confirm or create custom Sionna material
SharedTexture06_Prop_1,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,7,7,4102,Signals_TextureSheet01_Diff.png;Signals_TextureSheet01_Norm.png;Signals_TextureSheet01_Spec.png,Luminaire_Head04_mesh_PropNode;Luminaire_Head04_mesh_PropNode.001;Luminaire_Head04_mesh_PropNode.002;Luminaire_Head04_mesh_PropNode.003;Luminaire_Head04_mesh_PropNode.004;Luminaire_Head04_mesh_PropNode.005;Luminaire_Head04_mesh_PropNode.006,manual confirm or create custom Sionna material
Sign_OneWay1_Flipped-Back.png_RightOneWaySign,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,38,38,76,Sign_OneWay1_Flipped-Back.png,Sign_OneWay1_Flipped_0_RightOneWaySignNode;Sign_OneWay1_Flipped_0_RightOneWaySignNode.001;Sign_OneWay1_Flipped_0_RightOneWaySignNode.002;Sign_OneWay1_Flipped_0_RightOneWaySignNode.003;Sign_OneWay1_Flipped_0_RightOneWaySignNode.004;Sign_OneWay1_Flipped_0_RightOneWaySignNode.005;Sign_OneWay1_Flipped_0_RightOneWaySignNode.006;Sign_OneWay1_Flipped_0_RightOneWaySignNode.007;Sign_OneWay1_Flipped_0_RightOneWaySignNode.008;Sign_OneWay1_Flipped_0_RightOneWaySignNode.009;Sign_OneWay1_Flipped_0_RightOneWaySignNode.010;Sign_OneWay1_Flipped_0_RightOneWaySignNode.011;Sign_OneWay1_Flipped_0_RightOneWaySignNode.012;Sign_OneWay1_Flipped_0_RightOneWaySignNode.013;Sign_OneWay1_Flipped_0_RightOneWaySignNode.014;Sign_OneWay1_Flipped_0_RightOneWaySignNode.015;Sign_OneWay1_Flipped_0_RightOneWaySignNode.016;Sign_OneWay1_Flipped_0_RightOneWaySignNode.017;Sign_OneWay1_Flipped_0_RightOneWaySignNode.018;Sign_OneWay1_Flipped_0_RightOneWaySignNode.019,manual confirm or create custom Sionna material
Sign_OneWay1_Flipped.svg_rrx_RightOneWaySign,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,38,38,76,Sign_OneWay1_Flipped.png,Sign_OneWay1_Flipped_0_RightOneWaySignNode;Sign_OneWay1_Flipped_0_RightOneWaySignNode.001;Sign_OneWay1_Flipped_0_RightOneWaySignNode.002;Sign_OneWay1_Flipped_0_RightOneWaySignNode.003;Sign_OneWay1_Flipped_0_RightOneWaySignNode.004;Sign_OneWay1_Flipped_0_RightOneWaySignNode.005;Sign_OneWay1_Flipped_0_RightOneWaySignNode.006;Sign_OneWay1_Flipped_0_RightOneWaySignNode.007;Sign_OneWay1_Flipped_0_RightOneWaySignNode.008;Sign_OneWay1_Flipped_0_RightOneWaySignNode.009;Sign_OneWay1_Flipped_0_RightOneWaySignNode.010;Sign_OneWay1_Flipped_0_RightOneWaySignNode.011;Sign_OneWay1_Flipped_0_RightOneWaySignNode.012;Sign_OneWay1_Flipped_0_RightOneWaySignNode.013;Sign_OneWay1_Flipped_0_RightOneWaySignNode.014;Sign_OneWay1_Flipped_0_RightOneWaySignNode.015;Sign_OneWay1_Flipped_0_RightOneWaySignNode.016;Sign_OneWay1_Flipped_0_RightOneWaySignNode.017;Sign_OneWay1_Flipped_0_RightOneWaySignNode.018;Sign_OneWay1_Flipped_0_RightOneWaySignNode.019,manual confirm or create custom Sionna material
Sign_R1-1-Back.png_StopSign,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,10,10,20,Sign_R1-1-Back.png,Sign_R1-1_0_StopSignNode;Sign_R1-1_0_StopSignNode.001;Sign_R1-1_0_StopSignNode.002;Sign_R1-1_0_StopSignNode.003;Sign_R1-1_0_StopSignNode.004;Sign_R1-1_0_StopSignNode.005;Sign_R1-1_0_StopSignNode.006;Sign_R1-1_0_StopSignNode.007;Sign_R1-1_0_StopSignNode.008;Sign_R1-1_0_StopSignNode.009,manual confirm or create custom Sionna material
Sign_R1-1.svg_StopSign,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,10,10,20,Sign_R1-1.png,Sign_R1-1_0_StopSignNode;Sign_R1-1_0_StopSignNode.001;Sign_R1-1_0_StopSignNode.002;Sign_R1-1_0_StopSignNode.003;Sign_R1-1_0_StopSignNode.004;Sign_R1-1_0_StopSignNode.005;Sign_R1-1_0_StopSignNode.006;Sign_R1-1_0_StopSignNode.007;Sign_R1-1_0_StopSignNode.008;Sign_R1-1_0_StopSignNode.009,manual confirm or create custom Sionna material
Sign_R1-5-Back.png_Sign,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,1,1,2,Sign_R1-5-Back.png,Sign_R1-5_0_SignNode,manual confirm or create custom Sionna material
Sign_R1-5.svg_rrx_Sign,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,1,1,2,Sign_R1-5.png,Sign_R1-5_0_SignNode,manual confirm or create custom Sionna material
Sign_R4-7c-Back.png_KeepRightSign,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,1,1,2,Sign_R4-7c-Back.png,Sign_R4-7c_0_KeepRightSignNode,manual confirm or create custom Sionna material
Sign_R4-7c.svg_rrx_KeepRightSign,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,1,1,2,Sign_R4-7c.png,Sign_R4-7c_0_KeepRightSignNode,manual confirm or create custom Sionna material
Sign_R5-1-Back.png_Sign,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,2,2,4,Sign_R5-1-Back.png,Sign_R5-1_0_SignNode;Sign_R5-1_0_SignNode.001,manual confirm or create custom Sionna material
Sign_R5-1.svg_rrx_Sign,itu_concrete,low,unknown material fallback,no direct physical material keyword; needs manual review,2,2,4,Sign_R5-1.png,Sign_R5-1_0_SignNode;Sign_R5-1_0_SignNode.001,manual confirm or create custom Sionna material
